p, d, t, time
8, 1, 0, 0.000000
8, 1, 1, 0.000000
8, 1, 2, 0.000000
8, 1, 3, 9.000000
8, 1, 4, 136.000000
8, 1, 5, 162.000000
8, 2, 0, 6.000000
8, 2, 1, 11.000000
8, 2, 2, 7.000000
8, 2, 3, 0.000000
8, 2, 4, 1.000000
8, 2, 5, 1.000000
8, 3, 0, 140.000000
8, 3, 1, 16.000000
8, 3, 2, 16.000000
8, 3, 3, 15.000000
8, 3, 4, 23.000000
8, 3, 5, 23.000000
8, 4, 0, 3195.000000
8, 4, 1, 242.000000
8, 4, 2, 229.000000
8, 4, 3, 0.000000
8, 4, 4, 0.000000
8, 4, 5, 0.000000
8, 5, 0, 79193.000000
8, 5, 1, 459.000000
8, 5, 2, 428.000000
8, 5, 3, 9373.000000
8, 5, 4, 1081.000000
8, 5, 5, 552.000000
8, 6, 0, 2007917.000000
8, 6, 1, 5691.000000
8, 6, 2, 3896.000000
8, 6, 3, 0.000000
8, 6, 4, 0.000000
8, 6, 5, 0.000000
