p, d, t, time
2, 1, 0, 0.000000
2, 1, 1, 0.000000
2, 1, 2, 0.000000
2, 1, 3, 0.000000
2, 1, 4, 0.000000
2, 1, 5, 0.000000
2, 2, 0, 6.000000
2, 2, 1, 7.000000
2, 2, 2, 7.000000
2, 2, 3, 3.000000
2, 2, 4, 4.000000
2, 2, 5, 4.000000
2, 3, 0, 140.000000
2, 3, 1, 16.000000
2, 3, 2, 16.000000
2, 3, 3, 74.000000
2, 3, 4, 93.000000
2, 3, 5, 94.000000
2, 4, 0, 3330.000000
2, 4, 1, 251.000000
2, 4, 2, 250.000000
2, 4, 3, 2248.000000
2, 4, 4, 296.000000
2, 4, 5, 199.000000
2, 5, 0, 80826.000000
2, 5, 1, 478.000000
2, 5, 2, 486.000000
2, 5, 3, 38131.000000
2, 5, 4, 3013.000000
2, 5, 5, 2015.000000
